Date,Close,Delta
5/22/2016,438,-3.25
5/24/2016,445.34,7.34
5/26/2016,452.49,7.15
5/28/2016,522.43,69.94
5/30/2016,525.15,2.72
6/1/2016,539.47,14.32
6/3/2016,568,28.53
6/5/2016,574.02,6.02
6/7/2016,577.54,3.52
6/9/2016,575.2941375,-2.2458625
6/11/2016,594.4399875,19.14585
6/13/2016,702.0665,107.6265125
6/15/2016,692.289625,-9.776875
6/17/2016,743.9164,51.626775
6/19/2016,760.8168,16.9004
6/21/2016,665.9586125,-94.8581875
6/23/2016,624.542,-41.4166125
6/25/2016,664.9068875,40.3648875
6/27/2016,646.7030125,-18.203875
6/29/2016,637.959625,-8.7433875
7/1/2016,675.1863375,37.2267125
7/3/2016,658.4175,-16.7688375
7/5/2016,666.4855875,8.0680875
7/7/2016,636.3588625,-30.126725
7/9/2016,651.8649125,15.50605
7/11/2016,647.9837,-3.8812125
7/13/2016,657.4524875,9.4687875
7/15/2016,664.57145,7.1189625
7/17/2016,675.45905,10.8876
7/19/2016,672.8432,-2.61585
7/21/2016,664.882075,-7.961125
7/23/2016,655.8469125,-9.0351625
7/25/2016,654.69545,-1.1514625
7/27/2016,654.9810375,0.2855875
7/29/2016,656.8876125,1.906575
7/31/2016,628.015375,-28.8722375
8/2/2016,515.0619,-112.953475
8/4/2016,577.3157714,62.2538714
8/6/2016,588.2312714,10.9155
8/8/2016,592.6975,4.4662286
8/10/2016,592.1899,-0.5076
8/12/2016,587.7556,-4.4343
8/14/2016,570.9764143,-16.7791857
8/16/2016,581.1185875,10.1421732
8/18/2016,576.0360875,-5.0825
8/20/2016,583.2078625,7.171775
8/22/2016,588.9727625,5.7649
8/24/2016,582.8479875,-6.124775
8/26/2016,581.07245,-1.7755375
8/28/2016,576.534,-4.53845
8/30/2016,578.616575,2.082575
9/1/2016,572.818375,-5.7982
9/3/2016,600.8860875,28.0677125
9/5/2016,608.10975,7.2236625
9/7/2016,614.4637625,6.3540125
9/9/2016,625.0709,10.6071375
9/11/2016,608.15855,-16.91235
9/13/2016,610.928125,2.769575
9/15/2016,610.386125,-0.542
9/17/2016,608.006875,-2.37925
9/19/2016,610.1965,2.189625
9/21/2016,598.884875,-11.311625
9/23/2016,604.2225,5.337625
9/25/2016,601.7472375,-2.4752625
9/27/2016,605.9622125,4.214975
9/29/2016,606.36375,0.4015375
10/1/2016,614.8238,8.46005
10/3/2016,611.8511,-2.9727
10/5/2016,612.3522875,0.5011875
10/7/2016,617.21035,4.8580625
10/9/2016,615.65675,-1.5536
10/11/2016,639.30995,23.6532
10/13/2016,635.9650875,-3.3448625
10/15/2016,637.9498571,1.9847696
10/17/2016,638.1833875,0.2335304
10/19/2016,629.253675,-8.9297125
10/21/2016,631.9242125,2.6705375
10/23/2016,653.0028625,21.07865
10/25/2016,655.31995,2.3170875
10/27/2016,682.2239625,26.9040125
10/29/2016,714.89545,32.6714875
10/31/2016,702.0015125,-12.8939375
11/2/2016,733.336125,31.3346125
11/4/2016,703.6940875,-29.6420375
11/6/2016,712.00325,8.3091625
11/8/2016,708.974875,-3.028375
11/10/2016,713.690125,4.71525
11/12/2016,703.718,-9.972125
11/14/2016,706.467875,2.749875
11/16/2016,736.914375,30.4465
11/18/2016,747.5217625,10.6073875
11/20/2016,729.066625,-18.4551375
11/22/2016,748.749375,19.68275
11/24/2016,737.450375,-11.299
11/26/2016,733.673,-3.777375
11/28/2016,733.052125,-0.620875
11/30/2016,742.6967625,9.6446375
12/2/2016,772.43725,29.7404875
12/4/2016,764.81625,-7.621
12/6/2016,756.6215,-8.19475
12/8/2016,769.72975,13.10825
12/10/2016,773.40125,3.6715
12/12/2016,777.006875,3.605625
12/14/2016,774.897,-2.109875
12/16/2016,781.568375,6.671375
12/18/2016,788.40575,6.837375
12/20/2016,793.0901375,4.6843875
12/22/2016,860.599875,67.5097375
12/24/2016,891.6126125,31.0127375
12/26/2016,897.335375,5.7227625
12/28/2016,967.480375,70.145
12/30/2016,952.156375,-15.324
1/1/2017,997.729875,45.5735
1/3/2017,1023.141875,25.412
1/5/2017,994.674875,-28.467
1/7/2017,896.830375,-97.8445
1/9/2017,894.18025,-2.650125
1/11/2017,785.2237375,-108.9565125
1/13/2017,826.2956625,41.071925
1/15/2017,822.2076,-4.0880625
1/17/2017,903.84575,81.63815
1/19/2017,895.798875,-8.046875
1/21/2017,920.4479,24.649025
1/23/2017,922.0736125,1.6257125
1/25/2017,893.045625,-29.0279875
1/27/2017,919.27975,26.234125
1/29/2017,915.933,-3.34675
1/31/2017,964.706075,48.773075
2/2/2017,1007.613713,42.907638
2/4/2017,1030.999413,23.3857
2/6/2017,1024.01375,-6.985663
2/8/2017,1052.376613,28.362863
2/10/2017,999.1035,-53.273113
2/12/2017,1000.604625,1.501125
2/14/2017,1011.78025,11.175625
2/16/2017,1035.208125,23.427875
2/18/2017,1056.637137,21.429012
2/20/2017,1084.755013,28.117876
2/22/2017,1123.223188,38.468175
2/24/2017,1174.86625,51.643062
2/26/2017,1175.04975,0.1835
2/28/2017,1187.565286,12.515536
3/2/2017,1259.410817,71.845531
3/4/2017,1267.0272,7.616383
3/6/2017,1275.197375,8.170175
3/8/2017,1157.3933,-117.804075
3/10/2017,1098.617129,-58.776171
3/12/2017,1227.494625,128.877496
3/14/2017,1245.370786,17.876161
3/16/2017,1180.945657,-64.425129
3/18/2017,952.2323625,-228.7132945
3/20/2017,1049.084488,96.8521255
3/22/2017,1028.726863,-20.357625
3/24/2017,941.9197143,-86.8071487
3/26/2017,956.7863125,14.8665982
3/28/2017,1046.127625,89.3413125
3/30/2017,1037.90455,-8.223075
4/1/2017,1086.929571,49.025021
4/3/2017,1141.813,54.883429
4/5/2017,1133.079314,-8.733686
4/7/2017,1190.45425,57.374936
4/9/2017,1208.8005,18.34625
4/11/2017,1226.617038,17.816538
4/13/2017,1180.023713,-46.593325
4/15/2017,1184.880671,4.856958
4/17/2017,1205.634875,20.754204
4/19/2017,1217.930088,12.295213
4/21/2017,1258.361413,40.431325
4/23/2017,1257.988113,-0.3733
4/25/2017,1279.414688,21.426575
4/27/2017,1345.353913,65.939225
4/29/2017,1334.979038,-10.374875
5/1/2017,1417.172813,82.193775
5/3/2017,1507.576857,90.404044
5/5/2017,1533.335071,25.758214
5/7/2017,1535.868429,2.533358
5/9/2017,1721.284971,185.416542
5/11/2017,1820.990563,99.705592
5/13/2017,1771.920013,-49.07055
5/15/2017,1723.126938,-48.793075
5/17/2017,1807.485063,84.358125
5/19/2017,1961.520488,154.035425
5/21/2017,2046.534463,85.013975
5/23/2017,2287.710288,241.175825
5/25/2017,2387.206286,99.495998
5/27/2017,2014.052963,-373.153323
5/29/2017,2275.9307,261.877737
5/31/2017,2285.933914,10.003214
6/2/2017,2446.142414,160.2085
6/4/2017,2516.173143,70.030729
6/6/2017,2883.313697,367.140554
6/8/2017,2792.999188,-90.314509
6/10/2017,2845.372857,52.373669
6/12/2017,2657.675063,-187.697794
6/14/2017,2447.041563,-210.6335
6/16/2017,2464.959814,17.918251
6/18/2017,2507.389252,42.429438
6/20/2017,2754.97825,247.588998
6/22/2017,2727.288013,-27.690237
6/24/2017,2589.164888,-138.123125
6/26/2017,2436.451057,-152.713831
6/28/2017,2585.349186,148.898129
6/30/2017,2477.641375,-107.707811
7/2/2017,2501.191343,23.549968
7/4/2017,2599.729838,98.538495
7/6/2017,2609.96775,10.237912
7/8/2017,2562.130662,-47.837088
7/10/2017,2366.170143,-195.960519
7/12/2017,2385.748571,19.578428
7/14/2017,2190.947833,-194.800738
7/16/2017,1931.2143,-259.733533
7/18/2017,2320.12225,388.90795
7/20/2017,2898.188417,578.066167
7/22/2017,2807.609857,-90.57856
7/24/2017,2751.821029,-55.788828
7/26/2017,2495.028586,-256.792443
7/28/2017,2781.636583,286.607997
7/30/2017,2745.955417,-35.681166
8/1/2017,2710.413067,-35.54235
8/3/2017,2794.117717,83.70465
8/5/2017,3218.115017,423.9973
8/7/2017,3407.226833,189.111816
8/9/2017,3357.326317,-49.900516
8/11/2017,3632.506667,275.18035
8/13/2017,4125.54802,493.041353
8/15/2017,4217.028329,91.480309
8/17/2017,4328.725717,111.697388
8/19/2017,4222.662214,-106.063503
8/21/2017,4043.722,-178.940214
8/23/2017,4174.95,131.228
8/25/2017,4363.05445,188.10445
8/27/2017,4354.308333,-8.746117
8/29/2017,4607.98545,253.677117
8/31/2017,4748.255,140.26955
9/2/2017,4580.38748,-167.86752
9/4/2017,4344.098317,-236.289163
9/6/2017,4641.822017,297.7237
9/8/2017,4310.750183,-331.071834
9/10/2017,4329.955,19.204817
9/12/2017,4219.036617,-110.918383
9/14/2017,3319.63,-899.406617
9/16/2017,3763.62604,443.99604
9/18/2017,4093.316667,329.690627
9/20/2017,3977.561667,-115.755
9/22/2017,3637.50255,-340.059117
9/24/2017,3703.04065,65.5381
9/26/2017,3910.307383,207.266733
9/28/2017,4201.98905,291.681667
9/30/2017,4335.368317,133.379267
10/2/2017,4386.88375,51.515433
10/4/2017,4225.175,-161.70875
10/6/2017,4345.603333,120.428333
10/8/2017,4602.280883,256.67755
10/10/2017,4782.28,179.999117
10/12/2017,5325.130683,542.850683
10/14/2017,5739.438733,414.30805
10/16/2017,5711.205867,-28.232866
10/18/2017,5546.1761,-165.029767
10/20/2017,5979.45984,433.28374
10/22/2017,5983.18455,3.72471
10/24/2017,5505.827767,-477.356783
10/26/2017,5893.138417,387.31065
10/28/2017,5776.69695,-116.441467
10/30/2017,6105.87422,329.17727
11/1/2017,6665.306683,559.432463
11/3/2017,7197.72006,532.413377
11/5/2017,7377.012367,179.292307
11/7/2017,7092.127233,-284.885134
11/9/2017,7158.03706,65.909827
11/11/2017,6362.851033,-795.186027
11/13/2017,6550.227533,187.3765
11/15/2017,7301.42992,751.202387
11/17/2017,7786.884367,485.454447
11/19/2017,8007.654067,220.7697
11/21/2017,8059.8,52.145933
11/23/2017,8148.95,89.15
11/25/2017,8707.407267,558.457267
11/27/2017,9718.29505,1010.887783
11/29/2017,9879.328333,161.033283
12/1/2017,10883.912,1004.583667
12/3/2017,11332.622,448.71
12/5/2017,11878.43333,545.81133
12/7/2017,16501.97167,4623.53834
12/9/2017,15142.83415,-1359.13752
12/11/2017,16762.11667,1619.28252
12/13/2017,16808.36667,46.25
12/15/2017,17771.9,963.53333
12/17/2017,19289.785,1517.885
12/19/2017,17737.11167,-1552.67333
12/21/2017,16047.51,-1689.60167
12/23/2017,15360.26167,-687.24833
12/25/2017,14119.02833,-1241.23334
12/27/2017,15589.32167,1470.29334
12/29/2017,14640.14,-949.18167
12/31/2017,14165.575,-474.565
1/2/2018,15005.85667,840.28167
1/4/2018,15199.355,193.49833
1/6/2018,17319.198,2119.843
1/8/2018,15265.90667,-2053.29133
1/10/2018,15126.39833,-139.50834
1/12/2018,13912.882,-1213.51633
1/14/2018,13852.92,-59.962
1/16/2018,11180.99833,-2671.92167
1/18/2018,11345.42333,164.425
1/20/2018,12950.79333,1605.37
1/22/2018,10544.59333,-2406.2
1/24/2018,11282.25833,737.665
1/26/2018,10969.815,-312.44333
1/28/2018,11765.71,795.895
1/30/2018,10184.06167,-1581.64833
2/1/2018,9083.258333,-1100.803337
2/3/2018,9076.678333,-6.58
2/5/2018,6838.816667,-2237.861666
2/7/2018,8099.958333,1261.141666
2/9/2018,8535.516667,435.558334
2/11/2018,8343.455,-192.061667
2/13/2018,8597.7675,254.3125
2/15/2018,9977.154,1379.3865
2/17/2018,10841.99167,864.83767
2/19/2018,11110.965,268.97333
2/21/2018,10532.79167,-578.17333
2/23/2018,10162.11667,-370.675
2/25/2018,9696.593333,-465.523337
2/27/2018,10763.88333,1067.289997
3/1/2018,11009.38167,245.49834
3/3/2018,11326.94833,317.56666
3/5/2018,11595.54,268.59167
3/7/2018,10118.058,-1477.482
3/9/2018,9089.278333,-1028.779667
3/11/2018,9761.396667,672.118334
3/13/2018,9154.7,-606.696667
3/15/2018,8358.121667,-796.578333
3/17/2018,7993.674644,-364.447023
3/19/2018,8412.033333,418.358689
3/21/2018,8947.753333,535.72
3/23/2018,8686.826667,-260.926666
3/25/2018,8617.296667,-69.53
3/27/2018,7876.195,-741.101667
3/29/2018,7172.28,-703.915
3/31/2018,6935.48,-236.8
4/2/2018,7035.848333,100.368333
4/4/2018,6787.761667,-248.086666
4/6/2018,6603.876667,-183.885
4/8/2018,7017.656667,413.78
4/10/2018,6787.571667,-230.085
4/12/2018,7847.845,1060.273333
4/14/2018,8036.511051,188.666051
4/16/2018,8043.803333,7.292282
4/18/2018,8164.937426,121.134093
4/20/2018,8852.718333,687.780907
4/22/2018,8838.548333,-14.17
4/24/2018,9555.542,716.993667
4/26/2018,9258.398333,-297.143667
4/28/2018,9326.173333,67.775
4/30/2018,9259.57,-66.603333
5/2/2018,9221.426,-38.144
5/4/2018,9710.73,489.304
5/6/2018,9630.136277,-80.593723
5/8/2018,9228.608333,-401.527944
5/10/2018,9101.483333,-127.125
5/12/2018,8484.346667,-617.136666
5/14/2018,8652.038333,167.691666
5/16/2018,8340.703333,-311.335
5/18/2018,8240.055,-100.648333
5/20/2018,8507.406667,267.351667
5/22/2018,8015.58,-491.826667
5/24/2018,7566.193333,-449.386667
5/26/2018,7342.908333,-223.285
5/28/2018,7130.541667,-212.366666
5/30/2018,7385.395,254.853333
6/1/2018,7535.146667,149.751667
6/3/2018,7699.886,164.739333
6/5/2018,7615.722142,-84.163858
6/7/2018,7676.271667,60.549525
6/9/2018,7564.408333,-111.863334
6/11/2018,6875.678333,-688.73
6/13/2018,6315.7,-559.978333
6/15/2018,6434.088,118.388
6/17/2018,6464.411667,30.323667
6/19/2018,6737,272.588333
6/21/2018,6733.901667,-3.098333
6/23/2018,6141.605833,-592.295834
6/25/2018,6211.4475,69.841667
6/27/2018,6105.295,-106.1525
6/29/2018,5908.7025,-196.5925
7/1/2018,6374.754167,466.051667
7/3/2018,6613.685833,238.931666
7/5/2018,6603.376667,-10.309166
7/7/2018,6594.281667,-9.095
7/9/2018,6723.8725,129.590833
7/11/2018,6377.363333,-346.509167
7/13/2018,6244.3575,-133.005833
7/15/2018,6316.881667,72.524167
7/17/2018,6869.910833,553.029166
7/19/2018,7396.401667,526.490834
7/21/2018,7352.495385,-43.906282
7/23/2018,7689.884167,337.388782
7/25/2018,8251.165,561.280833
7/27/2018,8025.2575,-225.9075
7/29/2018,8206.341667,181.084167
7/31/2018,7916.800833,-289.540834
8/2/2018,7593.149167,-323.651666
8/4/2018,7247.769167,-345.38
8/6/2018,6988.079167,-259.69
8/8/2018,6450.366923,-537.712244
8/10/2018,6396.494667,-53.872256
8/12/2018,6311.131667,-85.363
8/14/2018,6050.9425,-260.189167
8/16/2018,6342.629231,291.686731
8/18/2018,6436.720833,94.091602
8/20/2018,6434.559167,-2.161666
8/22/2018,6575.229167,140.67
8/24/2018,6543.645714,-31.583453
8/26/2018,6673.274167,129.628453
8/28/2018,7000.04,326.765833
8/30/2018,6932.6625,-67.3775
9/1/2018,7100.946667,168.284167
9/3/2018,7260.949231,160.002564
9/5/2018,7113.069231,-147.88
9/7/2018,6444.804167,-668.265064
9/9/2018,6286.425833,-158.378334
9/11/2018,6296.320833,9.895
9/13/2018,6450.179231,153.858398
9/15/2018,6518.655,68.475769
9/17/2018,6400.600833,-118.054167
9/19/2018,6335.826667,-64.774166
9/21/2018,6669.990833,334.164166
9/23/2018,6710.445,40.454167
9/25/2018,6412.459167,-297.985833
9/27/2018,6535.476667,123.0175
9/29/2018,6550.474167,14.9975
10/1/2018,6590.968333,40.494166
10/3/2018,6470.4025,-120.565833
10/5/2018,6568.549167,98.146667
10/7/2018,6558.5375,-10.011667
10/9/2018,6621.711667,63.174167
10/11/2018,6248.635833,-373.075834
10/13/2018,6260.645833,12.01
10/15/2018,6452.571667,191.925834
10/17/2018,6596.276154,143.704487
10/19/2018,6487.444167,-108.831987
10/21/2018,6531.601667,44.1575
10/23/2018,6481.426,-50.175667
10/25/2018,6478.0825,-3.3435
10/27/2018,6465.9175,-12.165
10/29/2018,6382.668333,-83.249167
10/31/2018,6310.284167,-72.384166
11/2/2018,6387.674167,77.39
11/4/2018,6391.873333,4.199166
11/6/2018,6445.354167,53.480834
11/8/2018,6486.251667,40.8975
11/10/2018,6399.033333,-87.218334
11/12/2018,6401.936667,2.903334
